Year	Name	Level	Country	Continent	Developed country	Communist country	Developing country
1949	Mao Zedong	President	Soviet Union	Europe	0	1	0
1950	Zhou Enlai	Premier	Soviet Union	Europe	0	1	0
1952	Zhou Enlai	Premier	Soviet Union	Europe	0	1	0
1954	Zhou Enlai	Premier	Myanmar	Asia	0	0	1
1954	Zhou Enlai	Premier	India	Asia	0	0	1
1954	Zhou Enlai	Premier	Soviet Union	Europe	0	1	0
1954	Zhou Enlai	Premier	Switzerland	Europe	1	0	0
1954	Zhou Enlai	Premier	Poland	Europe	0	1	0
1955	Zhou Enlai	Premier	Indonesia	Asia	0	0	1
1956	Zhou Enlai	Premier	Myanmar	Asia	0	0	1
1956	Zhou Enlai	Premier	Cambodia	Asia	0	0	1
1956	Zhou Enlai	Premier	Pakistan	Asia	0	0	1
1956	Zhou Enlai	Premier	Soviet Union	Europe	0	1	0
1956	Zhou Enlai	Premier	Vietnam	Asia	0	1	0
1957	Mao Zedong	President	Soviet Union	Europe	0	1	0
1957	Zhou Enlai	Premier	Afghanistan	Asia	0	0	1
1957	Zhou Enlai	Premier	Sri Lanka	Asia	0	0	1
1957	Zhou Enlai	Premier	Hungary	Europe	0	1	0
1957	Zhou Enlai	Premier	India	Asia	0	0	1
1957	Zhou Enlai	Premier	Nepal	Asia	0	0	1
1957	Zhou Enlai	Premier	Poland	Europe	0	1	0
1957	Zhou Enlai	Premier	Soviet Union	Europe	0	1	0
1960	Liu Shaoqi	President	Soviet Union	Europe	0	1	0
1960	Zhou Enlai	Premier	Myanmar	Asia	0	0	1
1960	Zhou Enlai	Premier	Cambodia	Asia	0	0	1
1960	Zhou Enlai	Premier	India	Asia	0	0	1
1960	Zhou Enlai	Premier	Mongolia	Asia	0	1	0
1960	Zhou Enlai	Premier	Nepal	Asia	0	0	1
1960	Zhou Enlai	Premier	Vietnam	Asia	0	1	0
1963	Liu Shaoqi	President	Myanmar	Asia	0	0	1
1963	Liu Shaoqi	President	Cambodia	Asia	0	0	1
1963	Liu Shaoqi	President	Indonesia	Asia	0	0	1
1963	Liu Shaoqi	President	Korea, North	Asia	0	1	0
1963	Liu Shaoqi	President	Vietnam	Asia	0	1	0
1963	Zhou Enlai	Premier	Algeria	Africa	0	0	1
1963	Zhou Enlai	Premier	Egypt	Africa	0	0	1
1963	Zhou Enlai	Premier	Morocco	Africa	0	0	1
1964	Zhou Enlai	Premier	Ethiopia	Africa	0	0	1
1964	Zhou Enlai	Premier	Ghana	Africa	0	0	1
1964	Zhou Enlai	Premier	Guinea	Africa	0	0	1
1964	Zhou Enlai	Premier	Mali	Africa	0	0	1
1964	Zhou Enlai	Premier	Pakistan	Asia	0	0	1
1964	Zhou Enlai	Premier	Somalia	Africa	0	0	1
1964	Zhou Enlai	Premier	Soviet Union	Europe	0	1	0
1964	Zhou Enlai	Premier	Albania	Europe	0	1	0
1964	Zhou Enlai	Premier	Sudan	Africa	0	0	1
1964	Zhou Enlai	Premier	Tunisia	Africa	0	0	1
1965	Zhou Enlai	Premier	Egypt	Africa	0	0	1
1965	Zhou Enlai	Premier	Indonesia	Asia	0	0	1
1965	Zhou Enlai	Premier	Tanzania	Africa	0	0	1
1966	Liu Shaoqi	President	Afghanistan	Asia	0	0	1
1966	Liu Shaoqi	President	Myanmar	Asia	0	0	1
1966	Liu Shaoqi	President	Pakistan	Asia	0	0	1
1966	Zhou Enlai	Premier	Romania	Europe	0	1	0
1969	Zhou Enlai	Premier	Vietnam	Asia	0	1	0
1970	Zhou Enlai	Premier	Korea, North	Asia	0	1	0
1971	Zhou Enlai	Premier	Vietnam	Asia	0	1	0
1971	Zhou Enlai	Premier	Vietnam	Asia	0	1	0
1974	Deng Xiaoping	Other (Acting leader)	United States	North America	1	0	0
1975	Deng Xiaoping	Other (Acting leader)	France	Europe	1	0	0
1978	Deng Xiaoping	Paramount Leader	Japan	Asia	1	0	0
1978	Deng Xiaoping	Paramount Leader	Malaysia	Asia	0	0	1
1978	Deng Xiaoping	Paramount Leader	Myanmar	Asia	0	0	1
1978	Deng Xiaoping	Paramount Leader	Nepal	Asia	0	0	1
1978	Deng Xiaoping	Paramount Leader	Korea, North	Asia	0	1	0
1978	Deng Xiaoping	Paramount Leader	Singapore	Asia	0	0	1
1978	Deng Xiaoping	Paramount Leader	Thailand	Asia	0	0	1
1978	Hua Guofeng	Premier	Iran	Asia	0	0	1
1978	Hua Guofeng	Premier	Korea, North	Asia	0	1	0
1978	Hua Guofeng	Premier	Romania	Europe	0	1	0
1978	Hua Guofeng	Premier	Yugoslavia	Europe	0	1	0
1979	Deng Xiaoping	Paramount Leader	United States	North America	1	0	0
1979	Hua Guofeng	Premier	France	Europe	1	0	0
1979	Hua Guofeng	Premier	Germany	Europe	1	0	0
1979	Hua Guofeng	Premier	Italy	Europe	1	0	0
1979	Hua Guofeng	Premier	United Kingdom	Europe	1	0	0
1980	Hua Guofeng	Premier	Japan	Asia	1	0	0
1981	Zhao Ziyang	Premier	Malaysia	Asia	0	0	1
1981	Zhao Ziyang	Premier	Korea, North	Asia	0	1	0
1981	Zhao Ziyang	Premier	Pakistan	Asia	0	0	1
1981	Zhao Ziyang	Premier	Thailand	Asia	0	0	1
1982	Deng Xiaoping	Paramount Leader	Korea, North	Asia	0	1	0
1982	Hu Yaobang	Leader CCP	Korea, North	Asia	0	1	0
1982	Zhao Ziyang	Premier	Japan	Asia	1	0	0
1983	Hu Yaobang	Leader CCP	Romania	Europe	0	1	0
1983	Zhao Ziyang	Premier	Algeria	Africa	0	0	1
1983	Zhao Ziyang	Premier	Congo - Kinshasa	Africa	0	0	1
1983	Zhao Ziyang	Premier	Egypt	Africa	0	0	1
1983	Zhao Ziyang	Premier	Gabon	Africa	0	0	1
1983	Zhao Ziyang	Premier	Guinea	Africa	0	0	1
1983	Zhao Ziyang	Premier	Kenya	Africa	0	0	1
1983	Zhao Ziyang	Premier	Morocco	Africa	0	0	1
1983	Zhao Ziyang	Premier	Tanzania	Africa	0	0	1
1983	Zhao Ziyang	Premier	Zambia	Africa	0	0	1
1983	Zhao Ziyang	Premier	Zimbabwe	Africa	0	0	1
1984	Hu Yaobang	Leader CCP	Korea, North	Asia	0	1	0
1984	Li Xiannian	President	Jordan	Asia	0	0	1
1984	Li Xiannian	President	Malta	Europe	1	0	0
1984	Li Xiannian	President	Nepal	Asia	0	0	1
1984	Li Xiannian	President	Pakistan	Asia	0	0	1
1984	Li Xiannian	President	Portugal	Europe	1	0	0
1984	Li Xiannian	President	Romania	Europe	0	1	0
1984	Li Xiannian	President	Spain	Europe	1	0	0
1984	Li Xiannian	President	Turkey	Asia	0	0	1
1984	Li Xiannian	President	Yugoslavia	Europe	0	1	0
1984	Zhao Ziyang	Premier	United States	North America	1	0	0
1985	Hu Yaobang	Leader CCP	Australia	Pacific	1	0	0
1985	Hu Yaobang	Leader CCP	United Kingdom	Europe	1	0	0
1985	Hu Yaobang	Leader CCP	New Zealand	Pacific	1	0	0
1985	Hu Yaobang	Leader CCP	Korea, North	Asia	0	1	0
1985	Li Xiannian	President	Canada	North America	1	0	0
1985	Li Xiannian	President	Myanmar	Asia	0	0	1
1985	Li Xiannian	President	Thailand	Asia	0	0	1
1985	Li Xiannian	President	United States	North America	1	0	0
1986	Li Xiannian	President	Bangladesh	Asia	0	0	1
1986	Li Xiannian	President	Egypt	Africa	0	0	1
1986	Li Xiannian	President	Madagascar	Africa	0	1	0
1986	Li Xiannian	President	Korea, North	Asia	0	1	0
1986	Li Xiannian	President	Somalia	Africa	0	1	0
1986	Li Xiannian	President	Sri Lanka	Asia	0	0	1
1987	Li Xiannian	President	Belgium	Europe	1	0	0
1987	Li Xiannian	President	France	Europe	1	0	0
