"TYPE"	"WORD"	"VALUE"
"zuversichtlich"	"zuversichtlicheres"	0.2179
"zuversichtlich"	"zuversichtlicherem"	0.2179
"zuversichtlich"	"zuversichtlicheren"	0.2179
"zuversichtlich"	"zuversichtliche"	0.2179
"zuversichtlich"	"zuversichtlichstes"	0.2179
"zuversichtlich"	"zuversichtlicher"	0.2179
"zuversichtlich"	"zuversichtlichere"	0.2179
"zuversichtlich"	"zuversichtlichster"	0.2179
"zuversichtlich"	"zuversichtliches"	0.2179
"zuvorkommend"	"zuvorkommend"	0.6669
"zuvorkommend"	"zuvorkommendste"	0.6669
"zuvorkommend"	"zuvorkommende"	0.6669
"zuvorkommend"	"zuvorkommenderes"	0.6669
"zuvorkommend"	"zuvorkommenderer"	0.6669
"zuvorkommend"	"zuvorkommenderen"	0.6669
"zuvorkommend"	"zuvorkommendes"	0.6669
"zuvorkommend"	"zuvorkommendstes"	0.6669
"zuvorkommend"	"zuvorkommender"	0.6669
"zuvorkommend"	"zuvorkommenderem"	0.6669
"zuvorkommend"	"zuvorkommenden"	0.6669
"zuvorkommend"	"zuvorkommendem"	0.6669
"zuvorkommend"	"zuvorkommendere"	0.6669
"zuvorkommend"	"zuvorkommendsten"	0.6669
"zuvorkommend"	"zuvorkommendstem"	0.6669
"zuvorkommend"	"zuvorkommendster"	0.6669
"Zwang"	"Zwang"	-0.0721
"Zwang"	"Zwanges"	-0.0721
"Zwang"	"Zwaengen"	-0.0721
"Zwang"	"Zwaenge"	-0.0721
"Zwang"	"Zwangs"	-0.0721
"Zwang"	"Zwange"	-0.0721
"Zwangslage"	"Zwangslage"	-0.0048
"Zwangslage"	"Zwangslagen"	-0.0048
"Zwangsmassnahme"	"Zwangsmassnahme"	-0.0048
"Zwangsmassnahme"	"Zwangsmassnahmen"	-0.0048
"zwecklos"	"zwecklos"	-0.0048
"zwecklos"	"zwecklosen"	-0.0048
"zwecklos"	"zwecklosem"	-0.0048
"zwecklos"	"zweckloser"	-0.0048
"zwecklos"	"zweckloses"	-0.0048
"zwecklos"	"zwecklosere"	-0.0048
"zwecklos"	"zwecklosester"	-0.0048
"zwecklos"	"zwecklosestes"	-0.0048
"zwecklos"	"zweckloseres"	-0.0048
"zwecklos"	"zweckloserer"	-0.0048
"zwecklos"	"zwecklosesten"	-0.0048
"zwecklos"	"zwecklosestem"	-0.0048
"zwecklos"	"zweckloseste"	-0.0048
"zwecklos"	"zweckloseren"	-0.0048
"zwecklos"	"zweckloserem"	-0.0048
"zwecklos"	"zwecklose"	-0.0048
"zweideutig"	"zweideutig"	-0.3174
"zweideutig"	"zweideutigsten"	-0.3174
"zweideutig"	"zweideutigstem"	-0.3174
"zweideutig"	"zweideutigstes"	-0.3174
"zweideutig"	"zweideutigster"	-0.3174
"zweideutig"	"zweideutigste"	-0.3174
"zweideutig"	"zweideutigere"	-0.3174
"zweideutig"	"zweideutigerem"	-0.3174
"zweideutig"	"zweideutigeren"	-0.3174
"zweideutig"	"zweideutigem"	-0.3174
"zweideutig"	"zweideutige"	-0.3174
"zweideutig"	"zweideutigen"	-0.3174
